institution,year,status,total
Chr. Michelsen Institute,2024,closed,12
Chr. Michelsen Institute,2025,diamond,3
Chr. Michelsen Institute,2025,gold,6
Chr. Michelsen Institute,2025,hybrid,8
Chr. Michelsen Institute,2025,hybrid_agreement,20
Chr. Michelsen Institute,2025,green,4
Chr. Michelsen Institute,2025,closed,8
Diakonhjemmet sykehus,2013,diamond,4
Diakonhjemmet sykehus,2013,gold,13
Diakonhjemmet sykehus,2013,hybrid,12
Diakonhjemmet sykehus,2013,green,13
Diakonhjemmet sykehus,2013,closed,66
Diakonhjemmet sykehus,2014,diamond,3
Diakonhjemmet sykehus,2014,gold,18
Diakonhjemmet sykehus,2014,hybrid,12
Diakonhjemmet sykehus,2014,green,13
Diakonhjemmet sykehus,2014,closed,79
Diakonhjemmet sykehus,2015,diamond,3
Diakonhjemmet sykehus,2015,gold,23
Diakonhjemmet sykehus,2015,hybrid,14
Diakonhjemmet sykehus,2015,green,10
Diakonhjemmet sykehus,2015,closed,86
Diakonhjemmet sykehus,2016,diamond,4
Diakonhjemmet sykehus,2016,gold,29
Diakonhjemmet sykehus,2016,hybrid,10
Diakonhjemmet sykehus,2016,green,13
Diakonhjemmet sykehus,2016,closed,79
Diakonhjemmet sykehus,2017,diamond,5
Diakonhjemmet sykehus,2017,gold,31
Diakonhjemmet sykehus,2017,hybrid,6
Diakonhjemmet sykehus,2017,green,27
Diakonhjemmet sykehus,2017,closed,71
Diakonhjemmet sykehus,2018,diamond,5
Diakonhjemmet sykehus,2018,gold,40
Diakonhjemmet sykehus,2018,hybrid,14
Diakonhjemmet sykehus,2018,green,27
Diakonhjemmet sykehus,2018,deposited,1
Diakonhjemmet sykehus,2018,closed,67
Diakonhjemmet sykehus,2019,diamond,5
Diakonhjemmet sykehus,2019,gold,43
Diakonhjemmet sykehus,2019,hybrid,13
Diakonhjemmet sykehus,2019,hybrid_agreement,6
Diakonhjemmet sykehus,2019,green,36
Diakonhjemmet sykehus,2019,closed,50
Diakonhjemmet sykehus,2020,diamond,3
Diakonhjemmet sykehus,2020,gold,60
Diakonhjemmet sykehus,2020,hybrid,14
Diakonhjemmet sykehus,2020,hybrid_agreement,28
Diakonhjemmet sykehus,2020,green,25
Diakonhjemmet sykehus,2020,closed,24
Diakonhjemmet sykehus,2021,diamond,3
Diakonhjemmet sykehus,2021,gold,64
Diakonhjemmet sykehus,2021,hybrid,27
Diakonhjemmet sykehus,2021,hybrid_agreement,37
