year,sector,discipline,status,total
2015,institute,social_science,green,118
2015,institute,social_science,closed,292
2015,higher_education,all,diamond,637
2015,higher_education,all,gold,2538
2015,higher_education,all,hybrid,1065
2015,higher_education,all,green,2534
2015,higher_education,all,deposited,3
2015,higher_education,all,closed,8645
2015,higher_education,humanities,diamond,195
2015,higher_education,humanities,gold,73
2015,higher_education,humanities,hybrid,20
2015,higher_education,humanities,green,135
2015,higher_education,humanities,deposited,1
2015,higher_education,humanities,closed,684
2015,higher_education,health_sciences,diamond,112
2015,higher_education,health_sciences,gold,1042
2015,higher_education,health_sciences,hybrid,479
2015,higher_education,health_sciences,green,630
2015,higher_education,health_sciences,deposited,1
2015,higher_education,health_sciences,closed,2703
2015,higher_education,natural_sciences_engineering,diamond,165
2015,higher_education,natural_sciences_engineering,gold,1140
2015,higher_education,natural_sciences_engineering,hybrid,427
2015,higher_education,natural_sciences_engineering,green,1205
2015,higher_education,natural_sciences_engineering,deposited,1
2015,higher_education,natural_sciences_engineering,closed,3099
2015,higher_education,social_science,diamond,165
2015,higher_education,social_science,gold,249
2015,higher_education,social_science,hybrid,113
2015,higher_education,social_science,green,426
2015,higher_education,social_science,closed,1523
2016,archives_libraries_museums,all,closed,1
2016,archives_libraries_museums,humanities,closed,1
2016,all,all,diamond,934
2016,all,all,gold,3581
2016,all,all,hybrid,1464
2016,all,all,green,3617
2016,all,all,deposited,7
2016,all,all,closed,9648
2016,all,humanities,diamond,199
2016,all,humanities,gold,82
2016,all,humanities,hybrid,29
2016,all,humanities,green,197
2016,all,humanities,deposited,1
2016,all,humanities,closed,677
2016,all,health_sciences,diamond,158
2016,all,health_sciences,gold,1485
2016,all,health_sciences,hybrid,661
2016,all,health_sciences,green,929
2016,all,health_sciences,deposited,1
2016,all,health_sciences,closed,3103
2016,all,natural_sciences_engineering,diamond,237
2016,all,natural_sciences_engineering,gold,1688
2016,all,natural_sciences_engineering,hybrid,581
2016,all,natural_sciences_engineering,green,1679
2016,all,natural_sciences_engineering,deposited,2
2016,all,natural_sciences_engineering,closed,3678
2016,all,social_science,diamond,340
2016,all,social_science,gold,305
2016,all,social_science,hybrid,153
2016,all,social_science,green,655
2016,all,social_science,deposited,3
2016,all,social_science,closed,1705
2016,health,all,diamond,89
2016,health,all,gold,1054
2016,health,all,hybrid,414
